dist_nm,cnty_nm,trfc_statn_id,latest_aadt_qty,objectid,x,y
Dallas,Dallas,57RP4571A,7652,130202,-10774816.6719516,3867560.75944966
Dallas,Dallas,57RP3070,3196,129798,-10772303.7702568,3866501.81322362
Dallas,Dallas,57RP4562F,3433,130193,-10774055.8032321,3866309.32376432
Dallas,Dallas,57RP4568,7164,130199,-10774862.3129429,3867161.51967704
Dallas,Dallas,57RP4573,18893,130205,-10774845.1697413,3867722.84274228
Dallas,Dallas,57RP3073,11432,129801,-10772566.1380514,3866317.08275912
Dallas,Dallas,57RP3067,4434,129793,-10771671.2072691,3867399.95357559
Dallas,Dallas,57RP4563F,28542,130194,-10774538.7071831,3866617.70140035
Dallas,Dallas,57RP4569,4964,130200,-10774788.61944,3867174.23158061
Dallas,Dallas,57RP3071,4131,129799,-10772373.0822245,3866530.61336089
Dallas,Dallas,57DC4530SBF,49488,126047,-10773953.0553421,3866203.7966462
Dallas,Dallas,57RP3072,9079,129800,-10772540.0302912,3866242.13717375
Dallas,Dallas,57RP4561F,4610,130192,-10774110.90638,3866400.55185915
Dallas,Dallas,57RP3068,8807,129794,-10772069.3069189,3866917.34785871
Dallas,Dallas,57RP4564F,39976,130195,-10774663.6076518,3866607.37346565
Dallas,Dallas,57RP4572,10063,130203,-10774954.3741618,3868004.11022088
Dallas,Dallas,57DC3045WBF,34681,126004,-10773435.1970709,3866178.24254271
Dallas,Dallas,57RP3069,10018,129795,-10772083.6782651,3867013.99374302
Dallas,Dallas,57DC4530EBL,30005,126045,-10773470.0400715,3866090.59106482
Dallas,Dallas,57RP4567,5815,130198,-10774924.0952603,3866953.0993813
Dallas,Dallas,57RP4572A,6185,130204,-10774915.8576179,3867980.93585735
Dallas,Dallas,57DC36675EN,35364,126036,-10775074.4878923,3868074.82541779
Dallas,Dallas,57DC3045NBF,43658,126002,-10773880.5863536,3866258.47996581
